2025-12-06 08:53:35.512 | DEBUG    | MexcSocket                               | 📡 Subscribed to: GAIX_USDT - Min1
2025-12-06 08:53:35.512 | DEBUG    | MexcSocket                               | 📡 Subscribed to: APT_USDT - Min1
2025-12-06 08:53:35.512 | DEBUG    | MexcSocket                               | 📡 Subscribed to: PEPE_USDT - Min1
2025-12-06 08:53:35.512 | DEBUG    | MexcSocket                               | 📡 Subscribed to: ARTX_USDT - Min1
2025-12-06 08:53:35.513 | DEBUG    | MexcSocket                               | 📡 Subscribed to: LTC_USDT - Min1
2025-12-06 08:53:35.513 | DEBUG    | MexcSocket                               | 📡 Subscribed to: LIGHT_USDT - Min1
2025-12-06 08:53:35.513 | DEBUG    | MexcSocket                               | 📡 Subscribed to: DIGI_USDT - Min1
2025-12-06 08:53:35.513 | DEBUG    | MexcSocket                               | 📡 Subscribed to: HBAR_USDT - Min1
2025-12-06 08:53:35.513 | DEBUG    | MexcSocket                               | 📡 Subscribed to: ICP_USDT - Min1
2025-12-06 08:53:35.514 | DEBUG    | MexcSocket                               | 📡 Subscribed to: BCH_USDT - Min1
2025-12-06 08:53:35.514 | DEBUG    | MexcSocket                               | 📡 Subscribed to: BUILDONBOB_USDT - Min1
2025-12-06 08:53:35.514 | DEBUG    | MexcSocket                               | 📡 Subscribed to: SKATE_USDT - Min1
2025-12-06 08:53:35.514 | DEBUG    | MexcSocket                               | 📡 Subscribed to: AAVE_USDT - Min1
2025-12-06 08:53:35.515 | DEBUG    | MexcSocket                               | 📡 Subscribed to: TAIKO_USDT - Min1
2025-12-06 08:53:35.515 | DEBUG    | MexcSocket                               | 📡 Subscribed to: NOBODY_USDT - Min1
2025-12-06 08:53:35.515 | DEBUG    | MexcSocket                               | 📡 Subscribed to: PUMPFUN_USDT - Min1
2025-12-06 08:53:35.515 | DEBUG    | MexcSocket                               | 📡 Subscribed to: USTC_USDT - Min1
2025-12-06 08:53:35.515 | DEBUG    | MexcSocket                               | 📡 Subscribed to: NEAR_USDT - Min1
2025-12-06 08:53:35.516 | DEBUG    | MexcSocket                               | 📡 Subscribed to: WIF_USDT - Min1
2025-12-06 08:53:35.516 | DEBUG    | MexcSocket                               | 📡 Subscribed to: RECALL_USDT - Min1
2025-12-06 08:53:35.516 | DEBUG    | MexcSocket                               | 📡 Subscribed to: XPL_USDT - Min1
2025-12-06 08:53:35.516 | DEBUG    | MexcSocket                               | 📡 Subscribed to: MAIGA_USDT - Min1
2025-12-06 08:53:35.516 | DEBUG    | MexcSocket                               | 📡 Subscribed to: WLD_USDT - Min1
2025-12-06 08:53:35.517 | DEBUG    | MexcSocket                               | 📡 Subscribed to: STABLE_USDT - Min1
2025-12-06 08:53:35.517 | DEBUG    | MexcSocket                               | 📡 Subscribed to: ZEN_USDT - Min1
2025-12-06 08:53:35.517 | DEBUG    | MexcSocket                               | 📡 Subscribed to: STRK_USDT - Min1
2025-12-06 08:53:35.517 | DEBUG    | MexcSocket                               | 📡 Subscribed to: DOT_USDT - Min1
2025-12-06 08:53:35.518 | DEBUG    | MexcSocket                               | 📡 Subscribed to: XAUT_USDT - Min1
2025-12-06 08:53:35.518 | DEBUG    | MexcSocket                               | 📡 Subscribed to: TIA_USDT - Min1
2025-12-06 08:53:35.518 | DEBUG    | MexcSocket                               | 📡 Subscribed to: EGLD_USDT - Min1
2025-12-06 08:53:35.518 | DEBUG    | MexcSocket                               | 📡 Subscribed to: WET_USDT - Min1
2025-12-06 08:53:35.518 | DEBUG    | MexcSocket                               | 📡 Subscribed to: UNI_USDT - Min1
2025-12-06 08:53:35.519 | DEBUG    | MexcSocket                               | 📡 Subscribed to: SHIB_USDT - Min1
2025-12-06 08:53:35.519 | DEBUG    | MexcSocket                               | 📡 Subscribed to: FET_USDT - Min1
2025-12-06 08:53:35.519 | DEBUG    | MexcSocket                               | 📡 Subscribed to: ALCH_USDT - Min1
2025-12-06 08:53:35.519 | DEBUG    | MexcSocket                               | 📡 Subscribed to: MONAD_USDT - Min1
2025-12-06 08:53:35.520 | DEBUG    | MexcSocket                               | 📡 Subscribed to: RIVER_USDT - Min1
2025-12-06 08:53:35.520 | DEBUG    | MexcSocket                               | 📡 Subscribed to: ARB_USDT - Min1
2025-12-06 08:53:35.520 | DEBUG    | MexcSocket                               | 📡 Subscribed to: BAT_USDT - Min1
2025-12-06 08:53:35.520 | DEBUG    | MexcSocket                               | 📡 Subscribed to: INJ_USDT - Min1
2025-12-06 08:53:35.521 | DEBUG    | MexcSocket                               | 📡 Subscribed to: PENGU_USDT - Min1
2025-12-06 08:53:35.521 | DEBUG    | MexcSocket                               | 📡 Subscribed to: PUFFER_USDT - Min1
2025-12-06 08:53:35.521 | DEBUG    | MexcSocket                               | 📡 Subscribed to: COAI_USDT - Min1
2025-12-06 08:53:35.521 | DEBUG    | MexcSocket                               | 📡 Subscribed to: JELLYJELLY_USDT - Min1
2025-12-06 08:53:35.521 | DEBUG    | MexcSocket                               | 📡 Subscribed to: DENT_USDT - Min1
2025-12-06 08:53:35.521 | DEBUG    | MexcSocket                               | 📡 Subscribed to: ONDO_USDT - Min1
2025-12-06 08:53:35.522 | DEBUG    | MexcSocket                               | 📡 Subscribed to: YB_USDT - Min1
2025-12-06 08:53:35.522 | DEBUG    | MexcSocket                               | 📡 Subscribed to: DASH_USDT - Min1
2025-12-06 08:53:35.522 | DEBUG    | MexcSocket                               | 📡 Subscribed to: VIRTUAL_USDT - Min1
2025-12-06 08:53:35.522 | DEBUG    | MexcSocket                               | 📡 Subscribed to: BEAT_USDT - Min1
2025-12-06 08:53:35.523 | DEBUG    | MexcSocket                               | 📡 Subscribed to: COMP_USDT - Min1
2025-12-06 08:53:35.523 | DEBUG    | MexcSocket                               | 📡 Subscribed to: SEI_USDT - Min1
2025-12-06 08:53:35.523 | DEBUG    | MexcSocket                               | 📡 Subscribed to: SXP_USDT - Min1
2025-12-06 08:53:35.523 | DEBUG    | MexcSocket                               | 📡 Subscribed to: GRASS_USDT - Min1
2025-12-06 08:53:35.523 | DEBUG    | MexcSocket                               | 📡 Subscribed to: BRETT_USDT - Min1
2025-12-06 08:53:35.524 | DEBUG    | MexcSocket                               | 📡 Subscribed to: RLS_USDT - Min1
2025-12-06 08:53:35.524 | DEBUG    | MexcSocket                               | 📡 Subscribed to: BDXN_USDT - Min1
2025-12-06 08:53:35.524 | DEBUG    | MexcSocket                               | 📡 Subscribed to: OP_USDT - Min1
2025-12-06 08:53:35.524 | DEBUG    | MexcSocket                               | 📡 Subscribed to: XVG_USDT - Min1
2025-12-06 08:53:35.524 | DEBUG    | MexcSocket                               | 📡 Subscribed to: PLAYSOLANA_USDT - Min1
2025-12-06 08:53:35.525 | DEBUG    | MexcSocket                               | 📡 Subscribed to: H_USDT - Min1
2025-12-06 08:53:35.525 | DEBUG    | MexcSocket                               | 📡 Subscribed to: TURBO_USDT - Min1
2025-12-06 08:53:35.525 | DEBUG    | MexcSocket                               | 📡 Subscribed to: CITY_USDT - Min1
2025-12-06 08:53:35.525 | DEBUG    | MexcSocket                               | 📡 Subscribed to: KAS_USDT - Min1
2025-12-06 08:53:35.526 | DEBUG    | MexcSocket                               | 📡 Subscribed to: GIGGLE_USDT - Min1
2025-12-06 08:53:35.526 | DEBUG    | MexcSocket                               | 📡 Subscribed to: BSU_USDT - Min1
2025-12-06 08:53:35.526 | DEBUG    | MexcSocket                               | 📡 Subscribed to: FTT_USDT - Min1
2025-12-06 08:53:35.526 | DEBUG    | MexcSocket                               | 📡 Subscribed to: FILECOIN_USDT - Min1
2025-12-06 08:53:35.526 | DEBUG    | MexcSocket                               | 📡 Subscribed to: XLM_USDT - Min1
2025-12-06 08:53:35.527 | DEBUG    | MexcSocket                               | 📡 Subscribed to: EDEN_USDT - Min1
2025-12-06 08:53:35.527 | DEBUG    | MexcSocket                               | 📡 Subscribed to: EVAA_USDT - Min1
2025-12-06 08:53:35.527 | DEBUG    | MexcSocket                               | 📡 Subscribed to: TNSR_USDT - Min1
2025-12-06 08:53:35.527 | DEBUG    | MexcSocket                               | 📡 Subscribed to: SPELL_USDT - Min1
2025-12-06 08:53:35.528 | DEBUG    | MexcSocket                               | 📡 Subscribed to: SKYAI_USDT - Min1
2025-12-06 08:53:35.528 | DEBUG    | MexcSocket                               | 📡 Subscribed to: PTB_USDT - Min1
2025-12-06 08:53:35.528 | DEBUG    | MexcSocket                               | 📡 Subscribed to: ORE_USDT - Min1
2025-12-06 08:53:35.528 | DEBUG    | MexcSocket                               | 📡 Subscribed to: PI_USDT - Min1
2025-12-06 08:53:35.528 | DEBUG    | MexcSocket                               | 📡 Subscribed to: SPX_USDT - Min1
2025-12-06 08:53:35.529 | DEBUG    | MexcSocket                               | 📡 Subscribed to: TRUMPOFFICIAL_USDT - Min1
2025-12-06 08:53:35.529 | DEBUG    | MexcSocket                               | 📡 Subscribed to: WLFI_USDT - Min1
2025-12-06 08:53:35.529 | DEBUG    | MexcSocket                               | 📡 Subscribed to: LDO_USDT - Min1
2025-12-06 08:53:35.529 | DEBUG    | MexcSocket                               | 📡 Subscribed to: TRB_USDT - Min1
2025-12-06 08:53:35.529 | DEBUG    | MexcSocket                               | 📡 Subscribed to: TRX_USDT - Min1
2025-12-06 08:53:35.530 | DEBUG    | MexcSocket                               | 📡 Subscribed to: SNX_USDT - Min1
2025-12-06 08:53:35.530 | DEBUG    | MexcSocket                               | 📡 Subscribed to: TONCOIN_USDT - Min1
2025-12-06 08:53:35.530 | DEBUG    | MexcSocket                               | 📡 Subscribed to: TA_USDT - Min1
2025-12-06 08:53:35.530 | DEBUG    | MexcSocket                               | 📡 Subscribed to: SUBHUB_USDT - Min1
2025-12-06 08:53:35.531 | DEBUG    | MexcSocket                               | 📡 Subscribed to: BEST_USDT - Min1
2025-12-06 08:53:35.531 | DEBUG    | MexcSocket                               | 📡 Subscribed to: KAITO_USDT - Min1
2025-12-06 08:53:35.531 | DEBUG    | MexcSocket                               | 📡 Subscribed to: PUMPBTC_USDT - Min1
2025-12-06 08:53:35.531 | DEBUG    | MexcSocket                               | 📡 Subscribed to: ATOM_USDT - Min1
